Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Afghanistan,AFG,2065.03623501599
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Albania,ALB,13653.2015701651
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Algeria,DZA,11521.9842097767
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,American Samoa,ASM,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Andorra,AND,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Angola,AGO,6712.02161540541
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Antigua and Barbuda,ATG,21850.1334122252
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Argentina,ARG,22066.1010083881
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Armenia,ARM,13653.7633812861
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Aruba,ABW,38221.1173141676
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Australia,AUS,49309.1123989414
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Austria,AUT,55833.559903835
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Azerbaijan,AZE,14442.0408668016
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Bahamas, The",BHS,36522.4029910409
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bahrain,BHR,45311.8683029627
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bangladesh,BGD,5550.03277751273
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Barbados,BRB,15499.8082056746
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Belarus,BLR,19279.209247881
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Belgium,BEL,51937.4236090476
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Belize,BLZ,7152.65741388462
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Benin,BEN,3287.30953781986
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bermuda,BMU,81681.7266682559
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bhutan,BTN,11864.766246616
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bolivia,BOL,8724.47418740562
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bosnia and Herzegovina,BIH,14896.7965119383
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Botswana,BWA,16404.4449053264
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Brazil,BRA,14736.1560621677
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,British Virgin Islands,VGB,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Brunei Darussalam,BRN,62098.011379516
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bulgaria,BGR,23265.8769207936
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Burkina Faso,BFA,2175.50467955719
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Burundi,BDI,751.44340469229
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cabo Verde,CPV,7171.8264247567
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cambodia,KHM,4388.80090863251
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cameroon,CMR,3742.85677859297
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Canada,CAN,49171.5110858739
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cayman Islands,CYM,73724.9669511883
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Central African Republic,CAF,946.059656562776
